path,sentence,russian_translation,russian_pronunciation,categories
basic_027.wav,오늘 무슨 요일이에요?,Какой сегодня день недели?,Оныль мусын ёилиеё?,Повседневная жизнь (일상 생활)
basic_028.wav,제 취미는 운동입니다.,Мое хобби — спорт.,Че чхвиминын ундонъимнида.,Повседневная жизнь (일상 생활)
basic_029.wav,오늘 친구를 만나요.,Сегодня я встречаюсь с другом.,Оныль чхингурыль маннаё.,Повседневная жизнь (일상 생활)
basic_030.wav,집에 가고 싶어요.,Я хочу пойти домой.,Чибе каго сипхоё.,Повседневная жизнь (일상 생활)
basic_031.wav,피곤해요.,Я устал.,Пхигонхэё.,Повседневная жизнь (일상 생활)
basic_032.wav,한국어를 공부해요.,Я изучаю корейский язык.,Хангугорыль конъбухэё.,Повседневная жизнь (일상 생활)
basic_033.wav,노래를 들어요.,Я слушаю песню.,Норэрыль дыроё.,Повседневная жизнь (일상 생활)
basic_034.wav,책을 읽어요.,Я читаю книгу.,Чхэгыль ильгоё.,Повседневная жизнь (일상 생활)
basic_035.wav,영화를 봐요.,Я смотрю фильм.,Ёнхварыль пуаё.,Повседневная жизнь (일상 생활)
basic_036.wav,전화해 주세요.,"Позвоните мне, пожалуйста.",Чонхвахэ чусэё.,Повседневная жизнь (일상 생활)
basic_037.wav,도와주세요.,"Помогите, пожалуйста.",Товачусэё.,Повседневная жизнь (일상 생활)
basic_038.wav,알겠습니다.,Понятно.,Альгэссимнида.,Повседневная жизнь (일상 생활)
basic_039.wav,모르겠습니다.,Я не знаю.,Морыгэссимнида.,Повседневная жизнь (일상 생활)
basic_040.wav,좋은 하루 되세요.,Хорошего дня.,Чоын хару твесэё.,Повседневная жизнь (일상 생활)
basic_041.wav,잘 자요.,Спокойной ночи.,Чаль чаё.,Повседневная жизнь (일상 생활)
basic_042.wav,배가 고파요.,Я голоден.,Пэга копхаё.,Еда и рестораны (음식 & 식당)
basic_043.wav,배가 불러요.,Я сыт.,Пэга пуллоё.,Еда и рестораны (음식 & 식당)
basic_044.wav,물 주세요.,"Дайте воды, пожалуйста.",Муль чусэё.,Еда и рестораны (음식 & 식당)
basic_045.wav,메뉴판 주세요.,"Дайте меню, пожалуйста.",Менюпхан чусэё.,Еда и рестораны (음식 & 식당)
basic_046.wav,이것 주세요.,"Дайте это, пожалуйста.",Игот чусэё.,Еда и рестораны (음식 & 식당)
basic_047.wav,여기 주문할게요.,"Примите заказ, пожалуйста.",Ёги чумунхальгэё.,Еда и рестораны (음식 & 식당)
basic_048.wav,맛있게 드세요.,Приятного аппетита.,Масиккэ дысэё.,Еда и рестораны (음식 & 식당)
basic_049.wav,잘 먹겠습니다.,Я хорошо поем.,Чаль моккэссимнида.,Еда и рестораны (음식 & 식당)
basic_050.wav,잘 먹었습니다.,Спасибо за еду.,Чаль могоссимнида.,Еда и рестораны (음식 & 식당)
basic_051.wav,이 음식은 맛있어요.,Эта еда вкусная.,И унсигын масиссоё.,Еда и рестораны (음식 & 식당)
basic_052.wav,조금 매워요.,Немного островато.,Чогым мэвоё.,Еда и рестораны (음식 & 식당)
basic_053.wav,맵지 않게 해주세요.,"Сделайте, пожалуйста, не острым.",Мэпчи анкхэ хэчусэё.,Еда и рестораны (음식 & 식당)
basic_054.wav,커피 한 잔 주세요.,"Дайте чашку кофе, пожалуйста.",Кхпхи хан чан чусэё.,Еда и рестораны (음식 & 식당)
basic_055.wav,아이스 아메리카노 주세요.,"Дайте ледяной американо, пожалуйста.",Аисы амэрикхано чусэё.,Еда и рестораны (음식 & 식당)
basic_056.wav,포장해 주세요.,"Упакуйте с собой, пожалуйста.",Пхочжанъхэ чусэё.,Еда и рестораны (음식 & 식당)
basic_057.wav,계산서 주세요.,"Дайте счет, пожалуйста.",Кесансо чусэё.,Еда и рестораны (음식 & 식당)
basic_058.wav,이식당은 유명해요.,Этот ресторан знаменит.,И сиктанъын юмёнъхэё.,Еда и рестораны (음식 & 식당)
basic_059.wav,얼마예요?,Сколько это стоит?,Ольмаеё?,Покупки (쇼핑)
basic_060.wav,이것은 얼마예요?,Сколько стоит вот это?,Игосын ольмаеё?,Покупки (쇼핑)
basic_061.wav,너무 비싸요.,Слишком дорого.,Ному писсаё.,Покупки (쇼핑)
basic_062.wav,조금 깎아 주세요.,"Сделайте небольшую скидку, пожалуйста.",Чогым ккакка чусэё.,Покупки (쇼핑)
basic_063.wav,카드로 계산할게요.,Я заплачу картой.,Кхадыро кесанхальгэё.,Покупки (쇼핑)
basic_064.wav,현금 영수증 주세요.,"Дайте кассовый чек, пожалуйста.",Хёнгым ёнгсучжын чусэё.,Покупки (쇼핑)
basic_065.wav,이거 입어봐도 돼요?,Можно это примерить?,Иго ибобуадо твеё?,Покупки (쇼핑)
basic_066.wav,다른 색상 있나요?,Есть ли другой цвет?,Тарын сэксанъ иннаё?,Покупки (쇼핑)
basic_067.wav,더 큰 사이즈 있어요?,Есть ли размер побольше?,То кхын саичжы иссоё?,Покупки (쇼핑)
basic_068.wav,더 작은 사이즈 있어요?,Есть ли размер поменьше?,То чагын саичжы иссоё?,Покупки (쇼핑)
basic_069.wav,봉투 필요하세요?,Вам нужен пакет?,Понътху пхирёхасэё?,Покупки (쇼핑)
basic_070.wav,봉투 주세요.,"Дайте пакет, пожалуйста.",Понътху чусэё.,Покупки (쇼핑)
basic_071.wav,이 상품 세일 중인가요?,Этот товар на распродаже?,И санъпхум сеиль чунъингаё?,Покупки (쇼핑)
basic_072.wav,화장실이 어디예요?,Где находится туалет?,Хвачжанъсири одиеё?,Транспорт (교통)
basic_073.wav,지하철역이 어디예요?,Где станция метро?,Чихачхёрыри одиеё?,Транспорт (교통)
basic_074.wav,버스를 타고 가요.,Я еду на автобусе.,Посырыль тхаго каё.,Транспорт (교통)
basic_075.wav,택시를 잡아 주세요.,"Поймайте такси, пожалуйста.",Тхэксирыль чаба чусэё.,Транспорт (교통)
basic_076.wav,여기서 세워 주세요.,"Остановите здесь, пожалуйста.",Ёгисо сево чусэё.,Транспорт (교통)
basic_077.wav,직진해 주세요.,"Поезжайте прямо, пожалуйста.",Чикчжынхэ чусэё.,Транспорт (교통)
basic_078.wav,우회전해 주세요.,"Поверните направо, пожалуйста.",Ухведжонхэ чусэё.,Транспорт (교통)
basic_079.wav,좌회전해 주세요.,"Поверните налево, пожалуйста.",Чвахведжонхэ чусэё.,Транспорт (교통)
basic_080.wav,길을 잃었어요.,Я заблудился.,Кирыль ироссоё.,Транспорт (교통)
basic_081.wav,공항까지 얼마나 걸려요?,Сколько времени ехать до аэропорта?,Конъханъккачжи ольмана коллёё?,Транспорт (교통)
basic_082.wav,기차표를 예매했어요.,Я забронировал билет на поезд.,Кичхэпхёрыль емэхиссоё.,Транспорт (교통)
basic_083.wav,정류장이 가까워요.,Остановка близко.,Чонърючжанъи каккавоё.,Транспорт (교통)
basic_084.wav,수업이 언제 시작해요?,Когда начинается урок?,Суоби ончжэ сичжакхэё?,Учеба и работа (학교 & 직장)
basic_085.wav,오늘 숙제가 있어요.,Сегодня есть домашнее задание.,Оныль сукчжэга иссоё.,Учеба и работа (학교 & 직장)
basic_086.wav,시험 공부를 해요.,Я готовлюсь к экзамену.,Сихом конъбурыль хэё.,Учеба и работа (학교 & 직장)
basic_087.wav,도서관에 가요.,Я иду в библиотеку.,Тосогуане каё.,Учеба и работа (학교 & 직장)
basic_088.wav,질문이 있습니다.,У меня есть вопрос.,Чильмуни иссымнида.,Учеба и работа (학교 & 직장)
basic_089.wav,다시 설명해 주세요.,"Объясните еще раз, пожалуйста.",Таси сольмёнъхэ чусэё.,Учеба и работа (학교 & 직장)
basic_090.wav,회사에 다녀요.,Я работаю в компании.,Хвесаэ танёё.,Учеба и работа (학교 & 직장)
basic_091.wav,오늘 회식이 있어요.,Сегодня корпоративный ужин.,Оныль хвесиги иссоё.,Учеба и работа (학교 & 직장)
basic_092.wav,내일 출장 가요.,Завтра я еду в командировку.,Нэиль чхурчжанъ каё.,Учеба и работа (학교 & 직장)
basic_093.wav,지금 바빠요?,Вы сейчас заняты?,Чигым паппаё?,Время и расписание (시간 & 일정)
basic_094.wav,내일 시간이 있어요?,У вас есть завтра время?,Нэиль сигани иссоё?,Время и расписание (시간 & 일정)
basic_095.wav,주말에 뭐 해요?,Что делаете на выходных?,Чумаре муо хэё?,Время и расписание (시간 & 일정)
basic_096.wav,약속이 있어요.,У меня назначена встреча.,Яксоги иссоё.,Время и расписание (시간 & 일정)
basic_097.wav,늦어서 죄송합니다.,Извините за опоздание.,Нычжосо чвесонхамнида.,Время и расписание (시간 & 일정)
basic_098.wav,조금만 기다려 주세요.,"Подождите немного, пожалуйста.",Чогымман кидарё чусэё.,Время и расписание (시간 & 일정)
basic_099.wav,시간이 빨라요.,Время летит быстро.,Сигани паллаё.,Время и расписание (시간 & 일정)
basic_100.wav,휴일에는 푹 쉬세요.,В праздники хорошо отдохните.,Хюиренын пхук свисэё.,Время и расписание (시간 & 일정)
3_2686.wav,제 취미는 우표 수집이에요.,Мое хобби — коллекционирование марок.,Че чхвиминын упхё суджибиеё.,Повседневная жизнь (일상 생활)
4_3084.wav,그것 좀 집어 줄래?,Можешь забрать его для меня?,Кыгот чом чибо чуллэ?,Повседневная жизнь (일상 생활)
1_0766.wav,그 녀석은 수업 시간에 늘상 늦는다.,Он всегда опаздывает на занятия.,Кы нёсогын суоп сиганэ ныльсанъ ныннында.,Учеба и работа (학교 & 직장)
1_0921.wav,포장지에 싸 드릴까요?,"Хотите, я заверну его в упаковочную бумагу?",Пхочжанъчжие сса дырильккаё?,Еда и рестораны (음식 & 식당)
3_0791.wav,지금 심한 우울증에 시달리고 있어요.,Я страдаю от тяжелой депрессии.,Чигым симан уульчжынъэ сидаллиго иссоё.,Время и расписание (시간 & 일정)
3_3778.wav,134번 버스를 타세요.,Сядьте на автобус № 134.,Пэк-самсип-са-бон посырыль тхасэё.,Транспорт (교통)
4_3262.wav,인천은 무역의 중심지예요.,Инчхон – центр торговли.,Инчхонын муёги чунъсимджиеё.,Транспорт (교통)
2_0963.wav,집에만 있는 것도 지겨워 죽겠어.,Мне надоело сидеть дома.,Чибеман иннын готто чигёво чуккэссо.,Повседневная жизнь (일상 생활)
4_3816.wav,전 이 학교 학생이 아닙니다.,Я не хожу в эту школу.,Чон и хаккё хаксэнъи анимнида.,Учеба и работа (학교 & 직장)
4_4507.wav,이 상품 세일 중인가요?,Этот товар продается?,И санъпхум сеиль чунъингаё?,Покупки (쇼핑)
4_0418.wav,지난 시간 배운 거 복습합시다.,"Давайте повторим, что мы узнали в прошлый раз.",Чинан сиган пэун го поксыпхапсида.,Время и расписание (시간 & 일정)
4_0380.wav,좋은데 좀 비싸네요.,"Это хорошо, но немного дорого.",Чоын дэ чом писсанеё.,Покупки (쇼핑)
3_0671.wav,저는 몸이 약해서 감기에 자주 걸려요.,"Я настолько слаб, что часто простужаюсь.",Чонын моми якхэсо камгие чачжу коллёё.,Повседневная жизнь (일상 생활)
3_2057.wav,커피 한 잔,чашка кофе,Кхпхи хан чан,Повседневная жизнь (일상 생활)
3_0887.wav,아들 녀석은 공부랑은 담을 쌓았어요.,Мой мальчик совершенно не заинтересован в учебе.,Адыль нёсогын конъбуранъын тамыль ссаассоё.,Учеба и работа (학교 & 직장)
3_4624.wav,수업이 정확히 8시에 시작합니다.,Занятия начинаются ровно в 8 часов.,Суоби чонъхуакхи ёдольсиэ сичжакхамнида.,Учеба и работа (학교 & 직장)
4_3465.wav,좀 나아? - 아니. 어제랑 마찬가지야.,"Вы чувствуете себя лучше? - Не совсем. То же, что и вчера.",Чом наа? - Ани. Очжэранъ мачхангаджия.,Время и расписание (시간 & 일정)
3_3930.wav,기온이 어제보다 15도 떨어졌어요.,Со вчерашнего дня температура упала на 15 градусов.,Киони очжэбода сибо-до ттороджёссоё.,Время и расписание (시간 & 일정)
3_1937.wav,대량으로 구매하시면 할인해 드립니다.,"Если вы покупаете оптом, мы предоставим вам скидку.",Тэрянъыро кумэхасимён харинхэ дыримнида.,Повседневная жизнь (일상 생활)
3_4945.wav,내일 비가 내려도 소풍을 가나요?,"Пикник все еще состоится, даже если завтра пойдет дождь?",Нэиль пига нэрёдо сопхунъыль канаё?,Время и расписание (시간 & 일정)
3_2413.wav,그는 우리 학교의 3년 선배이다.,Он был на три года старше меня в школе.,Кынын ури хаккёвыи сам-нён сонбэида.,Учеба и работа (학교 & 직장)
4_1503.wav,그 여자는 늘 값비싼 옷만 입어요.,Она всегда носит дорогую одежду.,Кы ёчжанын ныль капписан отман ибоё.,Повседневная жизнь (일상 생활)
4_0586.wav,저는 집이 두 채 있어요.,У меня два дома.,Чонын чиби ту чхэ иссоё.,Повседневная жизнь (일상 생활)
4_1581.wav,커피는 건강에 해로워요.,Кофе вреден для здоровья.,Кхпхинын конганъэ хэровоё.,Повседневная жизнь (일상 생활)
4_4724.wav,시장이 우리 학교를 방문했습니다.,Мэр посетил нашу школу.,Сичжанъи ури хаккёрыль панъмунхэссимнида.,Учеба и работа (학교 & 직장)
4_3343.wav,약속을 깨다,прерывать встречу,Яксогыль ккэда,Повседневная жизнь (일상 생활)
4_5232.wav,너는 고등학교 때랑 똑같구나!,"Ты выглядишь точно так же, как в старшей школе!",Нонын кодынъхаккё ттэранъ ттоккаткхуна!,Учеба и работа (학교 & 직장)
4_2151.wav,어제 친구하고 인사동에 갔어요.,Вчера я ходил в Инсадон с моим другом.,Очжэ чхингухаго инсадонъэ кассоё.,Время и расписание (시간 & 일정)
1_0144.wav,그녀는 나를 자기 집으로 초대했다.,Она пригласила меня к себе домой.,Кынёнын нарыль чаги чибыро чхэдэхэтта.,Повседневная жизнь (일상 생활)
4_3075.wav,배가 진짜 고파요.,Я очень голоден.,Пэга чинчжа копхаё.,Повседневная жизнь (일상 생활)
4_0031.wav,아이스크림이 녹기 전에 얼른 집에 가자.,"Давай поспешим домой, пока мороженое не растаяло.",Аисыкхырими нокки чжонэ оллън чибе качжа.,Повседневная жизнь (일상 생활)
3_1121.wav,그는 놀라운 집중력을 보였다.,Он продемонстрировал замечательную способность к концентрации.,Кынын нолаун чипчжунърёгыль поётта.,Повседневная жизнь (일상 생활)
4_2499.wav,오늘 일손이 모자라요.,Нам сегодня не хватает рабочих рук.,Оныль ильсони мочараё.,Время и расписание (시간 & 일정)
3_0914.wav,오늘 왜 그리 우울해 보여?,Почему ты выглядишь таким подавленным сегодня?,Оныль вэ кыри уулхэ поё?,Время и расписание (시간 & 일정)
3_2034.wav,언제부터 채식을 하셨어요?,Когда ты стал вегетарианцем?,Ончжэбутхо чхэсигыль хасoptionsё?,Повседневная жизнь (일상 생활)
4_0092.wav,"안녕, 어떻게 지내니?","Привет, как твои дела?","Аннён, оттокхэ чинхэни?",Повседневная жизнь (일상 생활)
4_5556.wav,라면은 여럿이 먹으면 더 맛있는 거 같아.,"Я думаю, что рамэн вкуснее, если поделиться им с другими.",Рамёнын ёроси могымён то масиннын го кхатха.,Еда и рестораны (음식 & 식당)
4_1082.wav,역사는 되풀이된다.,История повторяется.,Ёксанын твепхуридунда.,Транспорт (교통)
3_1714.wav,지금 저한테 데이트 신청하는 건가요?,Ты приглашаешь меня на свидание?,Чигым чохантхэ деитхы синчхонъханын гонгаё?,Время и расписание (시간 & 일정)
2_0332.wav,저는 학교 다닐 때 과학에 뛰어났습니다.,"Когда я учился в школе, у меня были отличные естественные науки.",Чонын хаккё таниль ттэ куахагэ ттуионассимнида.,Учеба и работа (학교 & 직장)
2_0654.wav,감기에는 신선한 과일이 좋습니다.,"Свежие фрукты полезны для людей, болеющих простудой.",Камгиэнын синсонхан куаири чосымнида.,Повседневная жизнь (일상 생활)
4_0324.wav,어제 이 건물 앞에서 싸움이 벌어졌어요.,Вчера перед этим зданием произошла драка.,Очжэ и конъмуль апхэсо ссауми порочжёссоё.,Время и расписание (시간 & 일정)
3_2414.wav,내 아내는 내 대학 후배야.,Моя жена учится на первом курсе колледжа.,Нэ анэнын нэ дэхак хубэя.,Повседневная жизнь (일상 생활)
4_2159.wav,요즘은 한 학급에 학생이 몇 명이에요?,Сколько учеников сейчас в каждом классе?,Ёчжымын хан хаккыбе хаксэнъи мёт мёнъиеё?,Повседневная жизнь (일상 생활)
4_1939.wav,정기 국회가 내일 열립니다.,Завтра откроется очередная сессия Национального собрания.,Чонъги кукхвэга нэиль ёллимнида.,Время и расписание (시간 & 일정)
4_4784.wav,저 배우는 신비한 매력이 있어요.,В этом актере есть таинственное обаяние.,Чо пэунын синбихан мэрёги иссоё.,Повседневная жизнь (일상 생활)
4_1262.wav,휴가 날짜가 언제예요?,Какого числа ваш отпуск?,Хюга нальчжага ончжэеё?,Повседневная жизнь (일상 생활)
4_3897.wav,우리 반에는 남학생이 딱 한 명뿐이야.,В моем классе только один ученик мужского пола.,Ури панэнын намхаксэнъи ттак хан мёнъппуния.,Повседневная жизнь (일상 생활)
4_3282.wav,오늘 공연에 좌석이 얼마나 남아 있어요?,Сколько мест осталось на сегодняшнее представление?,Оныль конъёне чуасоги ольмана нама иссоё?,Время и расписание (시간 & 일정)
3_2019.wav,먹을 만큼 덜어서 먹어라.,Берите себе порцию и копайтесь.,Могыль манкхым торосо могора.,Еда и рестораны (음식 & 식당)
3_1794.wav,그는 내게 병원에 가 보라고 조언했다.,Он посоветовал мне пойти к врачу.,Кынын нэге пёнъвоне ка пораго чоонхэтта.,Повседневная жизнь (일상 생활)
2_0577.wav,오늘 분위기가 색다르시네요.,Ты сегодня выглядишь совсем иначе.,Оныль пунвигига сэкдарысинеё.,Время и расписание (시간 & 일정)
4_0880.wav,커피 대신 물을 주세요.,"Мне будет немного воды, а не кофе.",Кхпхи дэсин мурыль чусэё.,Повседневная жизнь (일상 생활)
3_0228.wav,커피 맛이 어때?,Как кофе на вкус?,Кхпхи маси оттэ?,Повседневная жизнь (일상 생활)
4_2990.wav,어머니가 모든 집안일을 혼자 하세요.,Моя мама сама делает всю работу по дому.,Омонига модын чибанирыль хончжа хасэё.,Повседневная жизнь (일상 생활)
3_1737.wav,오늘 엄마한테 꾸중을 들어서 기분이 별로예요.,"У меня плохое настроение, потому что меня сегодня отругала мама.",Оныль уммахантхэ ккучжунъыль дыросо кибуни пьёллоеё.,Время и расписание (시간 & 일정)
4_5193.wav,오늘은 엄마를 따라 백화점에 갔어요.,Сегодня я последовал за мамой в универмаг.,Онырын уммарыль ттара пэкхуачжомэ кассоё.,Время и расписание (시간 & 일정)
3_3539.wav,정부는 중소기업 지원을 약속했다.,Правительство пообещало помочь малому бизнесу.,Чонъбунын чунъсогиёп чивоныль яксокхэтта.,Повседневная жизнь (일상 생활)
3_2813.wav,나는 중학교 때 배구 선수였어.,В средней школе я был волейболистом.,Нанын чунъхаккё ттэ пэгу сонсуёссо.,Учеба и работа (학교 & 직장)
4_3295.wav,기차의 몇몇 칸은 금연 구역입니다.,В некоторых вагонах поезда курение запрещено.,Кичхэвыи мьотмьот кханын кымён куёгимнида.,Транспорт (교통)
4_1300.wav,그걸 어떻게 알았니?,Откуда ты это знаешь?,Кыгорыль оттокхэ аранни?,Повседневная жизнь (일상 생활)
4_0854.wav,요즘 대학생들은 아르바이트를 많이 한다.,Сегодня many college students work part-time.,Ёчжым дэхаксэнъдырын арыбаитхырыль мани ханда.,Повседневная жизнь (일상 생활)
4_5227.wav,그녀는 예쁘고 또 옷도 잘 입어요.,Она красивая и очень хорошо одевается.,Кынёнын еппыго тто отто чаль ибоё.,Повседневная жизнь (일상 생활)
3_2492.wav,역사 점수가 안 좋아요.,Я получил плохую оценку по истории.,Ёкса чомсуга ан чоаё.,Учеба и работа (학교 & 직장)
3_1120.wav,밥 먹을 때는 먹는 데만 집중해라.,"Сосредоточьтесь на еде, когда вы едите.",Пап могыль ттэнын монънън деман чипчжунъхэра.,Повседневная жизнь (일상 생활)
4_5608.wav,저는 유치원에서 한글을 배웠어요.,Я выучил хангыль в детском саду.,Чонын ючхивонесо ханъгырыль пэуоссоё.,Повседневная жизнь (일상 생활)
3_2691.wav,대부분의 해수욕장들이 내일 개장할 예정입니다.,Большинство пляжей откроются завтра.,Тэпубуныи хэсуёкчжанъдыри нэиль кэчжанъхаль едженъимнида.,Время и расписание (시간 & 일정)
3_3634.wav,나한테 적당한 사전 좀 추천해 줄래?,Можете ли вы порекомендовать мне хороший словарь?,Нахантхэ чоктанъхан сачжон чом чхчхонхэ чуллэ?,Повседневная жизнь (일상 생활)
4_4398.wav,오늘은 좀 색다른 거 먹어 볼까?,Почему бы нам сегодня не попробовать новое блюдо?,Онырын чом сэкдарын го мого полькка?,Еда и рестораны (음식 & 식당)
4_1411.wav,아기는 언제 가질 생각이니?,Когда вы планируете завести детей?,Агинын ончжэ каджиль сэнъгагини?,Повседневная жизнь (일상 생활)
3_4960.wav,제 집을 마련하려고 저축을 하고 있습니다.,"Я накопил, чтобы купить дом.",Че чибыль марёнхарыго чочхугыль хаго иссымнида.,Повседневная жизнь (일상 생활)
4_3933.wav,언제 이런 증상이 처음 나타났나요?,Когда впервые появились эти симптомы?,Ончжэ ирон чжынъсанъи чхэум натхананнаё?,Повседневная жизнь (일상 생활)
1_0308.wav,감독관이 시험지를 빨리 거둔 것 같아.,"Думаю, руководитель заставил нас сдать документы пораньше.",Камдоккуани сихомджирыль ппалли кодун гот катха.,Учеба и работа (학교 & 직장)
4_3807.wav,내 명예를 걸고 약속할게.,Обещаю тебе честью.,Нэ мёнъэрыль кольго яксокхальгэ.,Повседневная жизнь (일상 생활)
3_0027.wav,배우자의 이름과 주민등록번호를 써 주세요.,Введите имя вашего супруга и номер социального страхования.,Пэучавыи ирымгуа чуминдынърокпонхорыль ссо чусэё.,Повседневная жизнь (일상 생활)
4_1506.wav,배가 바다 속으로 가라앉았다.,Корабль затонул на дно моря.,Пэга пада согыро караанчжатта.,Повседневная жизнь (일상 생활)
3_0143.wav,밥을 많이 먹어서 배가 너무 불러.,"Я съел слишком много, и мой желудок кажется слишком полным.",Пабыль мани могосо пэга ному пулло.,Еда и рестораны (음식 & 식당)
3_4799.wav,약속대로 네가 저녁 해.,"Приготовь ужин, как обещал.",Яксокдэро нега чонёк хэ.,Повседневная жизнь (일상 생활)
4_5288.wav,지금 날 의심하는 거야?,Ты мне не веришь?,Чигым наль высиеханын гоя?,Время и расписание (시간 & 일정)
4_1660.wav,죄송하지만 이곳은 금연 구역입니다.,"Извините, но это место для некурящих.",Чвесонъхаджиман игосын кымён куёгимнида.,Транспорт (교통)
4_5494.wav,다음 번엔 공부 더 열심히 할게요.,В следующий раз я буду учиться усерднее.,Таым понен конъбу то ёльсими хальгэё.,Учеба и работа (학교 & 직장)
4_5397.wav,약국은 바로 병원 옆에 있어요.,Аптека находится рядом с больницей.,Яккугын паро пёнъвон ёпхэ иссоё.,Повседневная жизнь (일상 생활)
4_0897.wav,우리 집은 닭을 길러요.,Мы выращиваем цыплят.,Ури чибын тагыль киллоё.,Повседневная жизнь (일상 생활)
3_3813.wav,작은 구멍이 큰 배를 가라앉게 하는 법이다.,Маленькая течь потопит большой корабль.,Чагын кумонъи кхын пэрыль караанкхэ ханын побида.,Повседневная жизнь (일상 생활)
4_5439.wav,그 문제에 대해 어떻게 생각해?,Что вы об этом думаете?,Кы мунчжээ дэхэ оттокхэ сэнъгакхэ?,Повседневная жизнь (일상 생활)
4_4396.wav,어제 우리 집 개가 새끼를 낳았어.,Моя собака вчера родила щенков.,Очжэ ури чип кэга сэккирыль наассо.,Повседневная жизнь (일상 생활)
1_0522.wav,자리에서 졸다가 한 정거장을 지났어요.,"Я проехал одну остановку, дремля на сиденье.",Чариесо чольдага хан чжонъгочжанъыль чинассоё.,Повседневная жизнь (일상 생활)
3_3926.wav,날씨가 너무 건조해서 자주 감기에 걸려.,"Я очень часто простужаюсь, потому что здесь слишком сухо.",Нальссига ному кончжохэсо чачжу камгиэ коллё.,Повседневная жизнь (일상 생활)
4_0216.wav,지금은 감기 때문에 밥맛이 없어요.,"У меня пропал аппетит с тех пор, как я простудился.",Чигымын камги ттэмунэ паммаси опсоё.,Время и расписание (시간 & 일정)
4_4693.wav,한국에서는 십일월에 대입 시험이 있어요.,В Корее студенты сдают вступительные экзамены в колледжи в ноябре.,Хангугесонын сибироре дэип сихоми иссоё.,Учеба и работа (학교 & 직장)
2_0665.wav,지금은 그 얘기 하기 싫어요.,Я не хочу говорить об этом сейчас.,Чигымын кы еги хаги сироё.,Время и расписание (시간 & 일정)
1_0446.wav,자리에서 일어나 대통령을 맞아 주십시오.,"Пожалуйста, встаньте и поприветствуйте президента.",Чариесо ирона дэтхонърёнъыль мачжа чусипсио.,Повседневная жизнь (일상 생활)
3_3229.wav,두 나라 간의 무역 마찰이 최고점에 다다랐다.,Торговые трения между двумя странами достигли своего апогея.,Ту нара каныи муёк мачхари чхэгоджомэ тадаратта.,Транспорт (교통)
4_2051.wav,경기는 언제 끝나요?,Когда игра закончится?,Кёнъгинын ончжэ кыннаё?,Повседневная жизнь (일상 생활)
1_0442.wav,어떤 옷을 입어야 해요?,Какую одежду мне следует носить?,Оттон осыль ибоя хэё?,Повседневная жизнь (일상 생활)
